Payment Time,Order Time,Download time,Download by,Order status,Type of Order,paidStatus,Platform,Store Name,Member Name,Order No.,Platform Order ID,Amount,Payment Amount,COD amount,Preferential Amount,Cost Price,Profit,Product qty,Logistics Vendor,Warehouse,Logistics Costs,Recipient name,Recipient mobile number,Region,Recipient Address,Tag Name,Notes,Printing time
8/5/2024 0:07,8/5/2024 0:07,8/5/2024 0:08,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo8,TXN000008,146647,0,42822,103825,0,42822,1,****,Warehouse A,0,****,****,,****,,,8/5/2024 15:47
8/5/2024 0:09,8/5/2024 0:09,8/5/2024 0:10,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo10,TXN000010,204500,82710,0,121790,0,79210,1,****,Warehouse A,3500,****,****,,****,,,8/5/2024 17:43
8/5/2024 0:13,8/5/2024 0:12,8/5/2024 0:13,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo14,TXN000014,347000,211065,0,135935,0,211065,1,****,Warehouse A,0,****,****,,****,,,8/5/2024 17:48
8/5/2024 0:13,8/5/2024 0:13,8/5/2024 0:13,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo15,TXN000015,147596,0,67496,80100,0,67496,1,****,Warehouse A,0,****,****,,****,,,8/5/2024 16:19
8/5/2024 0:22,8/5/2024 0:22,8/5/2024 0:22,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo24,TXN000024,176000,88000,0,88000,0,88000,1,****,Warehouse A,0,****,****,,****,,,8/5/2024 15:14
8/5/2024 0:23,8/5/2024 0:21,8/5/2024 0:23,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo26,TXN000026,386000,189700,0,196300,0,189700,1,****,Warehouse A,0,****,****,,****,,,8/5/2024 15:36
8/5/2024 0:25,8/5/2024 0:25,8/5/2024 0:25,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo30,TXN000030,234400,234400,0,0,0,220400,1,****,Warehouse A,14000,****,****,,****,,,8/5/2024 16:27
8/5/2024 0:26,8/5/2024 0:25,8/5/2024 0:27,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo31,TXN000031,201000,91741,0,109259,0,91741,1,****,Warehouse A,0,****,****,,****,,,8/5/2024 16:00
8/5/2024 0:28,8/5/2024 0:28,8/5/2024 0:28,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo36,TXN000036,376000,217950,0,158050,0,217950,2,****,Warehouse A,0,****,****,,****,,,8/5/2024 16:16
8/5/2024 0:29,8/5/2024 0:29,8/5/2024 0:29,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo37,TXN000037,274200,274200,0,0,0,246700,1,****,Warehouse A,27500,****,****,,****,,,8/5/2024 17:53
