Order Code,Out Order Code,Waybill No.,Package number,Order Type,Payment Type,Name of courier company,Platform,Order Subtype,Store,Invoice,invoiceTitle,tax invoice content,System Shortage,Appointment Delivery,Order Creation Time,Order Time,Payment time,WMS receiving time,cancelled time,Owner code,Owner name,Order Status,Picking Type,Province,City,District,outbound time,Expected outbound time,Expected # Items,Number of items shipped,Expected # SKU,total number of order package,order package outbound quantity,weight,distribute,LP code,Unified packing material,Recommend packaging material,transaction number,Priority Delivery (G)
SO123456,OO123456,Waybill123,PN12345,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:59,,,8/12/2024 9:59,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016275,no
SO123457,OO123457,Waybill124,PN12346,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:56,,,8/12/2024 9:56,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016266,no
SO123458,OO123458,Waybill125,PN12347,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:59,,,8/12/2024 9:59,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016282,no
SO123459,OO123459,Waybill126,PN12348,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:54,,,8/12/2024 9:54,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016268,no
SO123460,OO123460,Waybill127,PN12349,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:45,,,8/12/2024 9:45,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016262,no
SO123461,OO123461,Waybill128,PN12350,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:36,,,8/12/2024 9:36,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016257,no
SO123462,OO123462,Waybill129,PN12351,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:51,,,8/12/2024 9:51,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016256,no
SO123463,OO123463,Waybill130,PN12352,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:40,,,8/12/2024 9:40,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016254,no
SO123464,OO123464,Waybill131,PN12353,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:39,,,8/12/2024 9:39,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016241,no
SO123465,OO123465,Waybill132,PN12354,single SKU single item,Cash on Delivery,****,,3PV,,no,,,no,standard delivery,8/12/2024 9:39,,,8/12/2024 9:39,,12345678,Seller A,Preprocessing Completed,,****,****,****,,8/14/2024 0:59,1,0,1,1,0,,no,WH00000,no,,TXN016239,no
